"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1.1",1,48,1064708.83333333,181417.648411043,1102176.5,1102113.975,310.6047,203651,1102689,899038,-4.44469713180852,18.1344784720927,26185.3820364662
"1.2",2,48,2018.66666666667,1.01757603789977,2019,2018.625,1.4826,2016,2021,5,0.325145205110427,0.864575514480419,0.146874449850587
"1.3",3,48,5.27875,1.33317350549157,4.92,5.18525,1.030407,3.09,9.54,6.45,0.876233442648141,0.466208213743418,0.192427020568009
"1.4",4,48,145.877291666667,48.0829886643067,141.98,143.0645,48.206739,57.18,281.86,224.68,0.587368523201193,0.150775330092344,6.9401816121948
"1.5",5,48,42.4358333333333,19.3511413521582,37.755,40.1955,17.079552,18.32,93.98,75.66,0.948879268894077,0.16241533068356,2.79309666719875
"1.6",6,48,1,0,1,1,0,1,1,0,NA,NA,0
"1.7",7,48,1,0,1,1,0,1,1,0,NA,NA,0
"1.8",8,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"1.9",9,48,24.375,13.8112273169331,24.5,24.45,17.7912,1,47,46,-0.0336595420876175,-1.30159095993102,1.99347895231761
"1.10",10,48,20.3541666666667,11.4659339717256,20.5,20.325,14.826,1,40,39,0.0161108365072414,-1.28737583495543,1.65496501627157
"1.11",11,48,24.5,14,24.5,24.5,17.7912,1,48,47,0,-1.27521789965986,2.02072594216369
"1.12",12,47,62.7446808510638,9.88733947840101,64,63.5128205128205,8.8956,30,79,49,-0.855675578381768,0.911252472416669,1.44221668895376
"1.13",13,48,1,0,1,1,0,1,1,0,NA,NA,0
"1.14",14,47,161.136170212766,40.4331946362409,151,157.817948717949,40.0302,94.5,280,185.5,0.794819291088114,0.286910142840993,5.89778759184799
"1.15",15,48,9.89583333333333,6.66282025563239,7.5,9.425,6.6717,1,24,23,0.544674341491221,-1.08574447197006,0.961695267037863
"1.16",16,48,23.9166666666667,13.5769412362775,23.5,23.9,17.0499,1,47,46,0.0174974266234041,-1.24456380878942,1.95966266938414
"1.17",17,28,129.5,21.3654272478105,126,127.541666666667,23.7216,102,204,102,1.36588737380914,2.76456961135997,4.03768622516783
"1.18",18,28,77.75,9.60179381388938,77.5,77.125,9.6369,61,103,42,0.559190547724595,0.13694955783938,1.81456846940498
"1.19",19,47,66.5957446808511,11.97399278594,66,66.3589743589744,7.413,33,105,72,0.321712421860552,1.8062965911957,1.74658635591699
"1.20",20,48,2.8125,2.18949377225043,2,2.375,0,1,10,9,2.10404919907893,3.18115840939425,0.316026204699448
"1.21",21,48,1.95833333333333,0.288675134594813,2,2,0,0,2,2,-6.50120459368735,41.1236979166667,0.0416666666666667
"1.22",22,48,1,0,1,1,0,1,1,0,NA,NA,0
"1.23",23,47,1,0,1,1,0,1,1,0,NA,NA,0
"1.24",24,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"1.25",25,47,3.87234042553191,1.26176241952685,3,3.84615384615385,1.4826,1,6,5,0.171002993401114,-1.0602902238977,0.184046964596647
"1.26",26,48,1.9375,0.31999002644032,2,2,0,0,2,2,-5.14138132695859,26.5377643696941,0.0461865819758285
"1.27",27,48,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"1.28",28,48,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"1.29",29,48,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"1.30",30,48,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"1.31",31,48,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"1.32",32,47,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"1.33",33,47,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"2.1",1,44,1020375.04545455,261246.57842646,1102017.5,1101976.86111111,414.3867,203632,1102679,899047,-2.74957172479617,5.69104036898305,39384.4035638511
"2.2",2,44,2018.77272727273,1.32706419051624,2019,2018.83333333333,1.4826,2015,2021,6,-0.465333935878736,0.509421875910555,0.200062454211777
"2.3",3,44,5.76363636363636,1.62501962908945,5.555,5.64083333333333,1.371405,3.03,9.91,6.88,0.669833940121146,-0.0263347498827526,0.244980926666009
"2.4",4,44,144.0855,51.982997435208,143.615,141.689055555556,44.2526448,49.9,261.73,211.83,0.406457264265407,-0.357590324480534,7.83673172593599
"2.5",5,44,53.8411363636364,30.2899529905053,48.84,51.5855555555556,25.930674,2.83,163.35,160.52,1.12350421052247,2.01874754967083,4.56638222668225
"2.6",6,44,1,0,1,1,0,1,1,0,NA,NA,0
"2.7",7,44,1,0,1,1,0,1,1,0,NA,NA,0
"2.8",8,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"2.9",9,44,22.5,12.8452325786651,22.5,22.5,16.3086,1,44,43,0,-1.28207300275482,1.93649167310371
"2.10",10,44,18.7954545454545,11.388651114473,17.5,18.6111111111111,14.0847,1,39,38,0.147610647486984,-1.2468171529246,1.71690375522591
"2.11",11,44,22.5,12.8452325786651,22.5,22.5,16.3086,1,44,43,0,-1.28207300275482,1.93649167310371
"2.12",12,44,66.6818181818182,11.0469878611042,68.5,68.0277777777778,6.6717,26,84,58,-1.78795808166673,4.37165105775553,1.66539608176787
"2.13",13,44,2,0,2,2,0,2,2,0,NA,NA,0
"2.14",14,43,149.797674418605,182.27844018525,172,175.268571428571,29.652,-999,254,1253,-5.80441042180816,33.7003174664543,27.7972015307078
"2.15",15,44,13,7.43342545220495,10.5,12.6944444444444,8.1543,1,27,26,0.380466322324955,-0.996799472379133,1.12063105145644
"2.16",16,44,22.5,12.8452325786651,22.5,22.5,16.3086,1,44,43,0,-1.28207300275482,1.93649167310371
"2.17",17,15,127.733333333333,12.4353566590627,126,128.384615384615,13.3434,102,145,43,-0.302439251945928,-1.03714404254282,3.21079528297996
"2.18",18,15,79,9.25048261289261,80,79.7692307692308,10.3782,58,90,32,-0.695826169202096,-0.595474185783578,2.38846434027429
"2.19",19,44,44.4090909090909,161.325659110776,68,68.1111111111111,11.8608,-999,94,1093,-6.14357434438031,36.7708545087316,24.3207581966921
"2.20",20,44,3.77272727272727,3.80246943240247,2,3.08333333333333,1.4826,1,14,13,1.45610083454093,0.651194101626973,0.573243835639758
"2.21",21,44,2,0,2,2,0,2,2,0,NA,NA,0
"2.22",22,44,1,0,1,1,0,1,1,0,NA,NA,0
"2.23",23,44,1,0,1,1,0,1,1,0,NA,NA,0
"2.24",24,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"2.25",25,44,3.95454545454545,1.21912178559748,3,3.91666666666667,1.4826,2,6,4,0.159536219560212,-1.46163805873177,0.18378952438977
"2.26",26,44,2,0,2,2,0,2,2,0,NA,NA,0
"2.27",27,44,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"2.28",28,44,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"2.29",29,44,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"2.30",30,44,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"2.31",31,44,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"2.32",32,44,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"2.33",33,44,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
